From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (GO)	Gene Ontology IDs
O60683	O60683	reviewed	PEX10_HUMAN	Peroxisome biogenesis factor 10 (EC 2.3.2.27) (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; protein transmembrane transporter activity [GO:0008320]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; cellular response to reactive oxygen species [GO:0034614]; peroxisome organization [GO:0007031]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein import into peroxisome matrix [GO:0016558]; protein import into peroxisome matrix, receptor recycling [GO:0016562]; protein import into peroxisome matrix, substrate release [GO:0044721]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	GO:0000209; GO:0005777; GO:0005778; GO:0006515; GO:0007031; GO:0008270; GO:0008320; GO:0016558; GO:0016562; GO:0034614; GO:0043161; GO:0044721; GO:0061630
P41252	P41252	reviewed	SYIC_HUMAN	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)	IARS1 IARS	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; GTPase binding [GO:0051020]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]; osteoblast differentiation [GO:0001649]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0000049; GO:0001649; GO:0002161; GO:0004822; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0006418; GO:0006428; GO:0016020; GO:0017101; GO:0051020; GO:0070062
Q9UI26	Q9UI26	reviewed	IPO11_HUMAN	Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11)	IPO11 RANBP11	cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nuclear import signal receptor activity [GO:0061608]; small GTPase binding [GO:0031267]; protein import into nucleus [GO:0006606]; ribosomal protein import into nucleus [GO:0006610]	GO:0005635; GO:0005654; GO:0005829; GO:0006606; GO:0006610; GO:0031267; GO:0061608
Q10570	Q10570	reviewed	CPSF1_HUMAN	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	CPSF1 CPSF160	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; co-transcriptional RNA 3'-end processing, cleavage and polyadenylation pathway [GO:0180012]; mRNA processing [GO:0006397]	GO:0005634; GO:0005654; GO:0005847; GO:0006397; GO:0019899; GO:0035925; GO:0180012
P00367	P00367	reviewed	DHE3_HUMAN	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; glutamate dehydrogenase [NAD(P)+] activity [GO:0004353]; GTP binding [GO:0005525]; L-leucine binding [GO:0070728]; NAD+ binding [GO:0070403]; protein homodimerization activity [GO:0042803]; glutamate biosynthetic process [GO:0006537]; glutamine metabolic process [GO:0006541]; L-glutamate catabolic process [GO:0006538]; positive regulation of insulin secretion [GO:0032024]; substantia nigra development [GO:0021762]; tricarboxylic acid metabolic process [GO:0072350]	GO:0004352; GO:0004353; GO:0004354; GO:0005524; GO:0005525; GO:0005737; GO:0005739; GO:0005759; GO:0005783; GO:0006537; GO:0006538; GO:0006541; GO:0021762; GO:0032024; GO:0042803; GO:0043531; GO:0070403; GO:0070728; GO:0072350
P23467	P23467	reviewed	PTPRB_HUMAN	Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP)	PTPRB PTPB	plasma membrane [GO:0005886]; receptor complex [GO:0043235]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]; cadherin binding [GO:0045296]; transmembrane receptor protein tyrosine kinase inhibitor activity [GO:0030293]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]; angiogenesis [GO:0001525]; dephosphorylation [GO:0016311]; glial cell migration [GO:0008347]; osteoblast differentiation [GO:0001649]; phosphate-containing compound metabolic process [GO:0006796]; protein dephosphorylation [GO:0006470]	GO:0001525; GO:0001649; GO:0005001; GO:0005886; GO:0006470; GO:0006796; GO:0008347; GO:0016311; GO:0030293; GO:0035579; GO:0043235; GO:0045296; GO:0070821
O60602	O60602	reviewed	TLR5_HUMAN	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	TLR5 TIL3	plasma membrane [GO:0005886]; interleukin-1 receptor binding [GO:0005149]; pattern recognition receptor activity [GO:0038187]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; male gonad development [GO:0008584]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; toll-like receptor 5 signaling pathway [GO:0034146]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0005149; GO:0005886; GO:0006954; GO:0008584; GO:0032757; GO:0034146; GO:0038023; GO:0038187; GO:0045087; GO:0045429; GO:0071222; GO:0071260
O75150	O75150	reviewed	BRE1B_HUMAN	E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	RNF40 BRE1B KIAA0661	HULC complex [GO:0033503]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; mRNA 3'-UTR binding [GO:0003730]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0003730; GO:0005634; GO:0005654; GO:0006325; GO:0006511; GO:0008270; GO:0016020; GO:0016567; GO:0031625; GO:0033503; GO:0042803; GO:0045944; GO:0061630
Q13472	Q13472	reviewed	TOP3A_HUMAN	DNA topoisomerase 3-alpha (EC 5.6.2.1) (DNA topoisomerase III alpha)	TOP3A TOP3	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; RecQ family helicase-topoisomerase III complex [GO:0031422]; DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; single-stranded DNA binding [GO:0003697]; zinc ion binding [GO:0008270]; chromosome separation [GO:0051304]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; double-strand break repair via homologous recombination [GO:0000724]; meiotic cell cycle [GO:0051321]; mitochondrial DNA metabolic process [GO:0032042]; resolution of DNA recombination intermediates [GO:0071139]	GO:0000724; GO:0003677; GO:0003697; GO:0003917; GO:0005634; GO:0005654; GO:0005739; GO:0005759; GO:0006265; GO:0006281; GO:0006310; GO:0008270; GO:0016605; GO:0031422; GO:0032042; GO:0051304; GO:0051321; GO:0071139
P48788	P48788	reviewed	TNNI2_HUMAN	Troponin I, fast skeletal muscle (Troponin I, fast-twitch isoform)	TNNI2	cytosol [GO:0005829]; nucleus [GO:0005634]; troponin complex [GO:0005861]; actin binding [GO:0003779]; troponin T binding [GO:0031014]; cardiac muscle contraction [GO:0060048]; positive regulation of DNA-templated transcription [GO:0045893]; skeletal muscle contraction [GO:0003009]	GO:0003009; GO:0003779; GO:0005634; GO:0005829; GO:0005861; GO:0031014; GO:0045893; GO:0060048
O15409	O15409	reviewed	FOXP2_HUMAN	Forkhead box protein P2 (CAG repeat protein 44) (Trinucleotide repeat-containing gene 10 protein)	FOXP2 CAGH44 TNRC10	chromatin [GO:0000785]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription coregulator binding [GO:0001221]; zinc ion binding [GO:0008270]; camera-type eye development [GO:0043010]; caudate nucleus development [GO:0021757]; cerebellar Purkinje cell differentiation [GO:0021702]; cerebral cortex development [GO:0021987]; epithelial cell proliferation involved in lung morphogenesis [GO:0060502]; gene expression [GO:0010467]; lung alveolus development [GO:0048286]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of epithelial cell proliferation involved in lung morphogenesis [GO:0060501]; positive regulation of mesenchymal cell proliferation [GO:0002053]; post-embryonic development [GO:0009791]; putamen development [GO:0021758]; regulation of transcription by RNA polymerase II [GO:0006357]; righting reflex [GO:0060013]; skeletal muscle tissue development [GO:0007519]; smooth muscle tissue development [GO:0048745]; vocal learning [GO:0042297]; vocalization behavior [GO:0071625]	GO:0000785; GO:0000978; GO:0000981; GO:0001221; GO:0001227; GO:0002053; GO:0003677; GO:0003700; GO:0005634; GO:0006357; GO:0007519; GO:0008270; GO:0009791; GO:0010467; GO:0021702; GO:0021757; GO:0021758; GO:0021987; GO:0042297; GO:0042802; GO:0042803; GO:0043010; GO:0043565; GO:0045892; GO:0048286; GO:0048745; GO:0060013; GO:0060501; GO:0060502; GO:0071625
Q9UBS3	Q9UBS3	reviewed	DNJB9_HUMAN	DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1)	DNAJB9 MDG1 UNQ743/PRO1471	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; Hsp70 protein binding [GO:0030544]; misfolded protein binding [GO:0051787]; protein-folding chaperone binding [GO:0051087]; B cell differentiation [GO:0030183]; ERAD pathway [GO:0036503]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; positive regulation of immunoglobulin production [GO:0002639]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]	GO:0002639; GO:0005730; GO:0005737; GO:0005783; GO:0005788; GO:0005789; GO:0006986; GO:0030183; GO:0030544; GO:0034976; GO:0036503; GO:0051087; GO:0051787; GO:0070062; GO:1903895
A0A1W2PQ27	A0A1W2PQ27	reviewed	S72L1_HUMAN	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 1 (RNA polymerase II subunit A C-terminal domain phosphatase SSU72L1) (CTD phosphatase SSU72L1) (EC 3.1.3.16)	SSU72L1	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]; mRNA 3'-end processing [GO:0031124]; termination of RNA polymerase II transcription [GO:0006369]	GO:0005847; GO:0006369; GO:0008420; GO:0031124
Q6P1L8	Q6P1L8	reviewed	RM14_HUMAN	Large ribosomal subunit protein uL14m (39S ribosomal protein L14, mitochondrial) (L14mt) (MRP-L14) (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32)	MRPL14 MRPL32 RPML32	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]	GO:0003723; GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0032543
Q96NM4	Q96NM4	reviewed	TOX2_HUMAN	TOX high mobility group box family member 2 (Granulosa cell HMG box protein 1) (GCX-1)	TOX2 C20orf100 GCX1	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin DNA binding [GO:0031490]; transcription coactivator activity [GO:0003713]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003713; GO:0005634; GO:0005654; GO:0006357; GO:0031490; GO:0045944
Q9UQ49	Q9UQ49	reviewed	NEUR3_HUMAN	Sialidase-3 (EC 3.2.1.18) (Ganglioside sialidasedis) (Membrane sialidase) (N-acetyl-alpha-neuraminidase 3)	NEU3	caveola [GO:0005901]; cytoplasm [GO:0005737]; early endosome membrane [GO:0031901]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; alpha-sialidase activity [GO:0016997]; exo-alpha-sialidase activity [GO:0004308]; carbohydrate metabolic process [GO:0005975]; ganglioside catabolic process [GO:0006689]; glycosphingolipid catabolic process [GO:0046479]; negative regulation of clathrin-dependent endocytosis [GO:1900186]; oligosaccharide catabolic process [GO:0009313]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]	GO:0004308; GO:0005737; GO:0005764; GO:0005765; GO:0005886; GO:0005901; GO:0005975; GO:0006689; GO:0009313; GO:0016020; GO:0016997; GO:0031901; GO:0045742; GO:0046479; GO:0055038; GO:1900186
Q9H1M0	Q9H1M0	reviewed	N62CL_HUMAN	Nucleoporin-62 C-terminal-like protein	NUP62CL NUP62L	nuclear pore [GO:0005643]; structural constituent of nuclear pore [GO:0017056]; protein transport [GO:0015031]	GO:0005643; GO:0015031; GO:0017056
O15231	O15231	reviewed	ZN185_HUMAN	Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A)	ZNF185	cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; zinc ion binding [GO:0008270]	GO:0005856; GO:0005925; GO:0008270
P49792	P49792	reviewed	RBP2_HUMAN	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	RANBP2 NUP358	annulate lamellae [GO:0005642]; cytoplasm [GO:0005737]; cytoplasmic periphery of the nuclear pore complex [GO:1990723]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inclusion body [GO:0042405]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SUMO ligase complex [GO:0106068]; kinase activator activity [GO:0019209]; protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; SUMO ligase activity [GO:0061665]; SUMO transferase activity [GO:0019789]; zinc ion binding [GO:0008270]; centrosome localization [GO:0051642]; intracellular glucose homeostasis [GO:0001678]; mRNA transport [GO:0051028]; negative regulation of transcription by RNA polymerase II [GO:0000122]; NLS-bearing protein import into nucleus [GO:0006607]; nuclear export [GO:0051168]; nucleocytoplasmic transport [GO:0006913]; protein folding [GO:0006457]; protein sumoylation [GO:0016925]; regulation of gluconeogenesis [GO:0006111]; response to amphetamine [GO:0001975]	GO:0000122; GO:0001678; GO:0001975; GO:0003723; GO:0005634; GO:0005635; GO:0005642; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006111; GO:0006457; GO:0006607; GO:0006913; GO:0008270; GO:0016020; GO:0016925; GO:0019209; GO:0019789; GO:0030674; GO:0031267; GO:0031965; GO:0042405; GO:0044614; GO:0044615; GO:0044877; GO:0051028; GO:0051168; GO:0051642; GO:0061665; GO:0106068; GO:1990723
Q9Y2T7	Q9Y2T7	reviewed	YBOX2_HUMAN	Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog)	YBX2 CSDA3 MSY2	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding [GO:0003677]; nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]; oocyte development [GO:0048599]; positive regulation of cold-induced thermogenesis [GO:0120162]; regulation of gene expression [GO:0010468]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366]; translational attenuation [GO:0009386]	GO:0003676; GO:0003677; GO:0003723; GO:0005634; GO:0005737; GO:0006366; GO:0007283; GO:0009386; GO:0010468; GO:0048599; GO:0120162
